Title,Link,Publish Date (UTC)
Think-Pair-Share (TPS),https://www.youtube.com/watch?v=Vo1degHQpL0,2023-09-05T07:44:59Z
Jigsaw Technique,https://www.youtube.com/watch?v=d_l__oGJhyA,2023-09-05T07:43:56Z
Code Interpreter does multilinear regression for you,https://www.youtube.com/watch?v=Tj3X4ekSmhQ,2023-07-12T02:01:06Z
Code Interpreter creates dockerfiles for repos!,https://www.youtube.com/watch?v=fXE6LrHLRSE,2023-07-12T00:49:32Z
Code Interpreter: Worth the cost of ChatGPT Plus?,https://www.youtube.com/watch?v=ewaE0obeoQA,2023-07-10T22:14:17Z
Visible Learning by John Hattie: Chapter 8 The contributions from the curricula,https://www.youtube.com/watch?v=xb_LIhgWnik,2023-06-08T00:00:09Z
Visible Learning by John Hattie: Chapter 7 The contributions from the teacher,https://www.youtube.com/watch?v=WPyebtSrFOw,2023-06-07T00:00:06Z
Visible Learning by John Hattie: Chapter 6 The contributions from the school,https://www.youtube.com/watch?v=TaNDd2I8mYY,2023-06-06T00:00:09Z
Visible Learning by John Hattie Chapter 5 The contributions from the home,https://www.youtube.com/watch?v=f9uw1RwBjAg,2023-06-05T00:00:09Z
Visible Learning by John Hattie: Chapter 4 The contributions from the student,https://www.youtube.com/watch?v=VhVaUo1fQuA,2023-06-04T11:01:53Z
Educational Theory Often Trumps Evidence in Teachers' Minds,https://www.youtube.com/watch?v=kP7QUZfEsLY,2023-05-09T21:50:18Z
Pouring good money after bad in education,https://www.youtube.com/watch?v=Tmd6hPytuWo,2023-05-09T08:29:55Z
This is perhaps Hattie's most insightful comment on teachers.,https://www.youtube.com/watch?v=8fCTfmSfjMY,2023-05-07T00:36:22Z
From key points to course content: an AI-assisted approach,https://www.youtube.com/watch?v=gjIQVhiMWdA,2023-04-29T04:55:30Z
Reading G6 Innapropriate Time,https://www.youtube.com/watch?v=M97rO_KHDEk,2023-03-04T01:47:59Z
Reading G6 Boom Boom Pow,https://www.youtube.com/watch?v=hgDB6Boo12A,2023-03-04T01:47:34Z
Reading G5 Keystone,https://www.youtube.com/watch?v=MPmXGUPLQBA,2023-03-04T01:47:22Z
Reading G5 Jessica Bracey,https://www.youtube.com/watch?v=1BXSuVwtXmc,2023-03-04T01:47:11Z
Reading G4 Three minutes on your own,https://www.youtube.com/watch?v=vfcG-P1rR6A,2023-03-04T01:47:01Z
Reading G10 Jekyl and Hyde,https://www.youtube.com/watch?v=XNHc7oio45c,2023-03-04T01:46:49Z
Math HS Register Shifts,https://www.youtube.com/watch?v=Ud2xmXTEGpQ,2023-03-04T01:46:31Z
Math G9 Go To IP,https://www.youtube.com/watch?v=_UJSt9C33gk,2023-03-04T01:46:14Z
Math G9 Expand,https://www.youtube.com/watch?v=KhnZPcjiZno,2023-03-04T01:46:02Z
Math G9 Back to your notes,https://www.youtube.com/watch?v=es4b72Un8m8,2023-03-04T01:45:49Z
Math G9 Almost there work,https://www.youtube.com/watch?v=2cyJeQdSReU,2023-03-04T01:44:35Z
Math G8 Strong Work,https://www.youtube.com/watch?v=EEe8S_ZIx_M,2023-03-04T01:44:19Z
Math G8 Smart Smart,https://www.youtube.com/watch?v=YXebRGW6jIc,2023-03-04T01:44:07Z
Math G8 Show Me,https://www.youtube.com/watch?v=TDq39f0lGkA,2023-03-04T01:43:54Z
Math G8 Keystone,https://www.youtube.com/watch?v=DExYYI3fmww,2023-03-04T01:43:41Z
Math G7 Silent Hand In,https://www.youtube.com/watch?v=KYn_gmlYcsQ,2023-03-04T01:43:28Z
Math G7 different Answers,https://www.youtube.com/watch?v=eE7ncDbGuAY,2023-03-04T01:43:16Z
Math G6 Show Call,https://www.youtube.com/watch?v=twqsJ9JXVe8,2023-03-04T01:43:05Z
Math G8 Smart Smart,https://www.youtube.com/watch?v=51os1Kw7C50,2023-03-04T01:42:49Z
Math G8 Strong Work,https://www.youtube.com/watch?v=phwzwVc2FJQ,2023-03-04T01:42:22Z
Math G9 Almost there work,https://www.youtube.com/watch?v=Y6KKrYZnaZE,2023-03-04T01:42:11Z
Math G9 Back to your notes,https://www.youtube.com/watch?v=89g9gf0vKt0,2023-03-04T01:41:58Z
Math G9 Expand,https://www.youtube.com/watch?v=9XV0dw_X5rA,2023-03-04T01:41:46Z
Math G9 Go To IP,https://www.youtube.com/watch?v=TtgrG6GyYOc,2023-03-04T01:41:23Z
Math HS Register Shifts,https://www.youtube.com/watch?v=PSaF2-UDeYM,2023-03-04T01:41:10Z
Reading K Active Observation,https://www.youtube.com/watch?v=5JrhMHhkViA,2023-03-04T01:40:58Z
Reading K Artful Sentence,https://www.youtube.com/watch?v=VWdJN4EmZ4M,2023-03-04T01:40:45Z
Reading Slowing the Data,https://www.youtube.com/watch?v=MHgH3JXCipU,2023-03-04T01:40:31Z
Register Shift,https://www.youtube.com/watch?v=MFhNM-9UAwo,2023-03-04T01:40:13Z
Retrieval Practice Montage,https://www.youtube.com/watch?v=5kQGBoM4weg,2023-03-04T01:40:01Z
Science G1 Cranium,https://www.youtube.com/watch?v=6oSCaqrEsPA,2023-03-04T01:39:47Z
Science G8 Lets Make a Note,https://www.youtube.com/watch?v=8ZXxTmyN93w,2023-03-04T01:39:32Z
Self interrupt Montage,https://www.youtube.com/watch?v=0fEaQvZk2J0,2023-03-04T01:39:21Z
Show Me Montage,https://www.youtube.com/watch?v=DiKqoWkt-o8,2023-03-04T01:39:09Z
Silent Solo Montage,https://www.youtube.com/watch?v=lImSpWlaIyU,2023-03-04T01:38:57Z
Writing G3 Nonverbal Montage,https://www.youtube.com/watch?v=EYv3zGvmFc8,2023-03-04T01:38:44Z
Reading G6 Show Call Discussion,https://www.youtube.com/watch?v=0shPCWgrQic,2023-03-04T01:38:32Z
Reading G6 Tiu Luis,https://www.youtube.com/watch?v=fjrV9DqEDN8,2023-03-04T01:38:05Z
Reading G7 Justice,https://www.youtube.com/watch?v=Do2BXjZdFSg,2023-03-04T01:37:49Z
Reading G7 Keystone,https://www.youtube.com/watch?v=RK8FQa4JDIQ,2023-03-04T01:37:37Z
45   Turn and Talk,https://www.youtube.com/watch?v=siNwdzl1xU0,2023-03-04T01:37:20Z
44   Turn and Talk,https://www.youtube.com/watch?v=H0nh8A39J-Q,2023-03-04T01:37:09Z
55   Be Seen Looking,https://www.youtube.com/watch?v=rTEd6qzOGxk,2023-03-04T01:36:18Z
54   Be Seen Looking,https://www.youtube.com/watch?v=PtLFXXL77FU,2023-03-04T01:35:44Z
53   Be Seen Looking,https://www.youtube.com/watch?v=k7_jR-DWIyw,2023-03-04T01:35:03Z
52   Culture of High Expectations,https://www.youtube.com/watch?v=yOSrb5E0xks,2023-03-04T01:34:49Z
51   Do It Again,https://www.youtube.com/watch?v=jOvXM-_6z5M,2023-03-04T01:34:35Z
50   Strategic Investment,https://www.youtube.com/watch?v=bZyiURfJn_0,2023-03-04T01:34:21Z
49   Strategic Investment,https://www.youtube.com/watch?v=fsLDMwyQ_Zw,2023-03-04T01:34:09Z
48   Sttrategic Investment,https://www.youtube.com/watch?v=dxVO4s0wN84,2023-03-04T01:33:56Z
47   Strategic Investment,https://www.youtube.com/watch?v=fMF11TM_jfs,2023-03-04T01:33:44Z
46   Turn and Talk,https://www.youtube.com/watch?v=R_TQMHjDwOw,2023-03-04T01:33:23Z
65   Firm Calm Finesse,https://www.youtube.com/watch?v=kPvG-Q1AnJQ,2023-03-04T01:31:16Z
64   Firm Calm Finesse,https://www.youtube.com/watch?v=9UsF-JAgAs0,2023-03-04T01:31:03Z
63 Least Invasive Intervention,https://www.youtube.com/watch?v=j88sZpGefeU,2023-03-04T01:30:47Z
62   Least Invasive Intervention,https://www.youtube.com/watch?v=EQ5PEpTBoZo,2023-03-04T01:30:34Z
61   Least Invasive Intervention,https://www.youtube.com/watch?v=yI8Hj2UrCbE,2023-03-04T01:30:19Z
60   Least Invasive Intervention,https://www.youtube.com/watch?v=oKvWxAxAcWw,2023-03-04T01:30:05Z
59   Least Invasive Intervention,https://www.youtube.com/watch?v=7zd0zg4i7bI,2023-03-04T01:29:39Z
58   Least Invasive Intervention,https://www.youtube.com/watch?v=9JtGkMXrwA8,2023-03-04T01:29:27Z
57   Make Compliance Visible,https://www.youtube.com/watch?v=Rk87TbnZojc,2023-03-04T01:29:13Z
56   Make Compliance Visible,https://www.youtube.com/watch?v=1qIzNdbHK4M,2023-03-04T01:29:00Z
75   Joy Factor,https://www.youtube.com/watch?v=5GuZNgZNEzI,2023-03-04T01:28:33Z
74   Joy Factor,https://www.youtube.com/watch?v=PdTuXrrELi4,2023-03-04T01:28:19Z
73   Precise Praise,https://www.youtube.com/watch?v=jdh_BtlvbH8,2023-03-04T01:28:06Z
72   Precise PRaise,https://www.youtube.com/watch?v=MBuIWevOlo8,2023-03-04T01:27:52Z
71   Precise Praise,https://www.youtube.com/watch?v=pz3ACmHPfqs,2023-03-04T01:27:40Z
70   Positive Framing,https://www.youtube.com/watch?v=KT4ET0PAWVI,2023-03-04T01:27:28Z
69   Strong Voice,https://www.youtube.com/watch?v=9bJdrxHg8fQ,2023-03-04T01:27:15Z
68   Strong Voice,https://www.youtube.com/watch?v=1vJonudsodI,2023-03-04T01:27:04Z
67   Strong Voice,https://www.youtube.com/watch?v=ODI-z19TFJ0,2023-03-04T01:26:51Z
66   Art of the Consequence,https://www.youtube.com/watch?v=ElUhlsRuPHE,2023-03-04T01:26:39Z
Math G6 Good Catch,https://www.youtube.com/watch?v=UUUCohBo4Ng,2023-03-04T01:25:39Z
Math G5 Fix Your Mistakes,https://www.youtube.com/watch?v=TFIIohhe-VI,2023-03-04T01:25:17Z
Math G3 Keystone,https://www.youtube.com/watch?v=io1KSFgbUN4,2023-03-04T01:24:58Z
Math G3 Front Table,https://www.youtube.com/watch?v=aTD30bWJzB0,2023-03-04T01:24:42Z
Math G2 Orange Row,https://www.youtube.com/watch?v=njCTXlbNDAc,2023-03-04T01:24:30Z
Math G11 Remainder,https://www.youtube.com/watch?v=fw4Jgwh_3LQ,2023-03-04T01:24:16Z
Math G11 Keystone,https://www.youtube.com/watch?v=mf8WP2XZpck,2023-03-04T01:24:03Z
Math G10 Pens to Paper,https://www.youtube.com/watch?v=wKB8qldgX4E,2023-03-04T01:23:51Z
Active Observation Montage,https://www.youtube.com/watch?v=Yfye2NHvIc8,2023-03-04T01:21:31Z
Be Seen Looking Montage,https://www.youtube.com/watch?v=e4xB3Ha2SKI,2023-03-04T01:07:59Z
Chemistry AP Grab one of each,https://www.youtube.com/watch?v=pXsxSCJFpoA,2023-03-04T01:07:43Z
Chemistry AP Keystone,https://www.youtube.com/watch?v=UNQWNUzDPuE,2023-03-04T01:07:28Z
Culture of Error Montage,https://www.youtube.com/watch?v=UDJsoamKtNQ,2023-03-04T01:07:14Z
History G5 Write what I write,https://www.youtube.com/watch?v=X6zgFoCBgqI,2023-03-04T01:06:55Z
Math G10 Check in with your neighbor,https://www.youtube.com/watch?v=LnQdQq1iRgg,2023-03-04T01:06:41Z
Math G10 Binomials,https://www.youtube.com/watch?v=yfinVSBJdhI,2023-03-04T01:06:21Z
36   Call and Response,https://www.youtube.com/watch?v=BeYZ2uJWDD0,2023-03-04T01:05:52Z
39   Everybody Writes,https://www.youtube.com/watch?v=D-KayMWv0pI,2023-03-04T01:05:29Z
37   Pepper,https://www.youtube.com/watch?v=Nk-8934Rf_U,2023-03-04T01:05:14Z
38   Everybody Writes,https://www.youtube.com/watch?v=ZbkjqMz0_rs,2023-03-04T01:04:57Z
40   Everybody Writes,https://www.youtube.com/watch?v=jdNX0ZgKwEw,2023-03-04T01:04:40Z
43   Habits of Discussion,https://www.youtube.com/watch?v=8vzW5JBx4ok,2023-03-04T01:03:42Z
42   Show Call,https://www.youtube.com/watch?v=I1qb8kHIbYs,2023-03-04T01:03:26Z
41   Show Call,https://www.youtube.com/watch?v=JHKHUY_tTWY,2023-03-04T01:03:00Z
33   Cold Call,https://www.youtube.com/watch?v=p-WJShu8Wac,2023-03-03T16:00:34Z
32   Cold Call,https://www.youtube.com/watch?v=hhJW1HKJMLU,2023-03-03T16:00:25Z
30   Wait Time,https://www.youtube.com/watch?v=_p7PSRP7ZN4,2023-03-03T16:00:19Z
31   Wait Time,https://www.youtube.com/watch?v=AMstYDuJrIU,2023-03-03T16:00:05Z
29   Wait Time,https://www.youtube.com/watch?v=6GH8z76EZeA,2023-03-03T16:00:03Z
34   Cold Call,https://www.youtube.com/watch?v=MK8YCmrf_Gg,2023-03-02T16:00:21Z
27   Change the Pace,https://www.youtube.com/watch?v=fZ2RfDxVikM,2023-03-02T16:00:18Z
35   Call and Response,https://www.youtube.com/watch?v=NfbB1IKWLes,2023-03-02T16:00:13Z
28   Cold Call,https://www.youtube.com/watch?v=5_-qktoEtEs,2023-03-02T16:00:05Z
Math G8 College Bound,https://www.youtube.com/watch?v=25-S1daDpsA,2023-03-02T13:56:40Z
25   All Hands,https://www.youtube.com/watch?v=op18TOM1Uvg,2023-03-01T16:00:34Z
23   Change the Pace,https://www.youtube.com/watch?v=qTp_i9YDpCI,2023-03-01T16:00:34Z
24   Brighten Lines,https://www.youtube.com/watch?v=plvLwXtzca4,2023-03-01T16:00:27Z
22   Change the PAce,https://www.youtube.com/watch?v=XxEt-5xtpDY,2023-03-01T16:00:20Z
26   Work the Clock,https://www.youtube.com/watch?v=3_RIHeHbiKc,2023-03-01T16:00:02Z
21   Circulate,https://www.youtube.com/watch?v=W6F7DdbojtA,2023-02-28T16:00:26Z
19   Control the Game,https://www.youtube.com/watch?v=qvff6crneu4,2023-02-28T16:00:24Z
17   Format MAtters,https://www.youtube.com/watch?v=RDo5sDSwFkQ,2023-02-28T16:00:23Z
20   Control the Game,https://www.youtube.com/watch?v=gHw_kvyxl7U,2023-02-28T16:00:23Z
18   Format MAtters,https://www.youtube.com/watch?v=O8TDzPAe1qQ,2023-02-28T16:00:15Z
12   No Opt Out,https://www.youtube.com/watch?v=bXUExb-u11o,2023-02-27T16:00:30Z
14   Right is Right,https://www.youtube.com/watch?v=m2fEMN2Q6Hs,2023-02-27T16:00:23Z
13   Right is Right,https://www.youtube.com/watch?v=M34i5wWNYRY,2023-02-27T16:00:13Z
16   Stretch It,https://www.youtube.com/watch?v=A2ZBTFdBuGw,2023-02-27T16:00:06Z
15   Right is Right,https://www.youtube.com/watch?v=5XBvqwU5FQU,2023-02-27T16:00:05Z
09 No Opt Out,https://www.youtube.com/watch?v=ZWSju1Ykg54,2023-02-26T16:00:31Z
11   No Opt Out,https://www.youtube.com/watch?v=JPKjSfOYi5E,2023-02-26T16:00:15Z
10 No Opt Out,https://www.youtube.com/watch?v=HpyVPu3ivBo,2023-02-26T16:00:08Z
08   Culture of Error,https://www.youtube.com/watch?v=3oYfnEkmgwU,2023-02-26T16:00:04Z
07   Culture of Error,https://www.youtube.com/watch?v=6CX68tJDCzg,2023-02-26T16:00:03Z
06   Affirmative Checking,https://www.youtube.com/watch?v=iA3fvz7XY4o,2023-02-26T03:22:26Z
05   Affirmative Checking,https://www.youtube.com/watch?v=wSj_MTSl_zw,2023-02-26T03:21:41Z
03   Show me,https://www.youtube.com/watch?v=hC7XyRqlkzs,2023-02-26T03:21:08Z
02   Standardize the format,https://www.youtube.com/watch?v=5dwKYduqoMY,2023-02-26T03:20:29Z
01   Reject Self report,https://www.youtube.com/watch?v=74hbccXW0G4,2023-02-26T03:19:38Z
Vocabulary Programs in Bilingual and International Schools,https://www.youtube.com/watch?v=czuASlRiiYM,2023-02-12T08:41:00Z
[Archives 2018] Ice reads My Dog,https://www.youtube.com/watch?v=vH8-QsTkmI4,2023-02-09T04:19:20Z
[Archives 2018] Mali and Cartoon do CVC for the first time,https://www.youtube.com/watch?v=JSmS4HmfPHs,2023-02-07T13:30:35Z
Using a collocation dictionary to improve student writing,https://www.youtube.com/watch?v=EGyqg-N_JKg,2023-02-06T01:46:18Z
Authentic Reading - An EFL Reading Framework for Newer Teachers,https://www.youtube.com/watch?v=TeHdXcnM-mE,2023-02-05T07:07:29Z
Estimating the causal effects of Khan Academy MAP Accelerator across demographic subgroups,https://www.youtube.com/watch?v=Qu4ZUvF7vMU,2023-02-04T04:00:15Z
Reading performance of Japanese high school learners following a one-year extensive reading program,https://www.youtube.com/watch?v=4hdxeicF8dY,2023-02-03T04:00:01Z
What does the research say about standards-based grading: A research primer,https://www.youtube.com/watch?v=b6OmuYf_GIw,2023-02-02T02:16:55Z
Aligning the Lexile Framework for Reading to theCommon European Framework of Reference,https://www.youtube.com/watch?v=1wiX6rrpNto,2023-02-01T10:53:32Z
Why standard phonics workbooks don't work for bilingual schools,https://www.youtube.com/watch?v=TtazHBv4n8o,2023-01-25T06:56:45Z
Always get all the facts before taking a side,https://www.youtube.com/watch?v=avtkRXFfty4,2023-01-21T03:10:30Z
Don't use ChatGPT for investment advice,https://www.youtube.com/watch?v=JRPzzB9tgbo,2023-01-09T05:54:26Z
TLAC 2 0 Technique 1 Reject Self Report,https://www.youtube.com/watch?v=vbs1-GPeEL0,2022-10-11T12:38:37Z
TLAC 2.0 Part 1 Check for Understanding,https://www.youtube.com/watch?v=Jrjdy8A7XXo,2022-10-11T12:20:51Z
Retrieval Practice Short,https://www.youtube.com/watch?v=VcTS7vNShPU,2022-10-02T04:38:24Z
TLAC 3.0 Technique 7 Retrieval Practice,https://www.youtube.com/watch?v=dysID9X2STs,2022-10-02T04:13:00Z
[Archives 2020] Union Intersection Complement and Difference in Sets,https://www.youtube.com/watch?v=Ws0Bxi38yik,2022-08-29T05:06:03Z
[Archives 2020] Triple Venn Diagram Set Operator Practice 1,https://www.youtube.com/watch?v=eyggcGhXrHc,2022-08-29T05:05:26Z
[Archives 2020] TLAC 2.0 Technique 22 Board Equals Paper,https://www.youtube.com/watch?v=fyTT8REfNMM,2022-08-29T05:04:47Z
[Archives 2020] TLAC 2.0 Technique 59 Precise Praise,https://www.youtube.com/watch?v=NOxjxOBRNA4,2022-08-29T05:04:24Z
[Archives 2020] TLAC 2.0 Technique 33 Cold Call,https://www.youtube.com/watch?v=xxn6FTBzAzA,2022-08-29T05:03:48Z
[Archives 2020] TLAC 2.0 Technique 21 Name the Steps,https://www.youtube.com/watch?v=gUh4KnU23KY,2022-08-28T07:27:19Z
[Archives 2020] TLAC 2.0 Technique 28 Brighten Lines,https://www.youtube.com/watch?v=WzviTExdF0g,2022-08-28T07:26:48Z
[Archives 2020] Subsets and Power Sets Part 2,https://www.youtube.com/watch?v=c6FNNBP0z8k,2022-08-21T08:15:22Z
[Archives 2020] Subsets and Power Sets Part 1,https://www.youtube.com/watch?v=v7pKbqOMxJM,2022-08-21T08:14:20Z
[Archives 2020] 0.3 Set Builder Notation  Complements  and Intersections,https://www.youtube.com/watch?v=A7prdN05NKU,2022-08-21T08:13:35Z
[Archives 2020] 0.2 Venn Diagrams  Subsets  and the Universal Set,https://www.youtube.com/watch?v=kEl5DETr_7U,2022-08-21T08:12:42Z
[Archives 2020] 0.1 Sets and Set Equality,https://www.youtube.com/watch?v=9qYMHmDpYOA,2022-08-21T05:03:46Z
[Archives 2021] Part 1  What are the foundations of good bilingual education,https://www.youtube.com/watch?v=sh-zHyXm7eI,2022-08-21T03:34:32Z
"[Archives 2021] Part 2  Language levels, reading levels, Lexile, testing, and SBG",https://www.youtube.com/watch?v=uD9tp_zvLtU,2022-08-21T03:34:28Z
Replace self report with something better Short,https://www.youtube.com/watch?v=8URe7wWjH_w,2022-08-01T02:55:37Z
Replace self report with something better TLAC 3.0 Technique 7,https://www.youtube.com/watch?v=7himF8J3ick,2022-08-01T02:55:18Z
No Opt Out Short,https://www.youtube.com/watch?v=lDjpciIP6wQ,2022-07-20T02:20:52Z
Stretch It Short,https://www.youtube.com/watch?v=1M20X9VLNRU,2022-07-19T06:44:10Z
Wait Time Short,https://www.youtube.com/watch?v=oszljgCoE9w,2022-07-19T06:43:32Z
Right is Right Short,https://www.youtube.com/watch?v=hH9U9DlSprE,2022-07-19T04:06:25Z
Cold Call TLAC 3.0 Technique 34,https://www.youtube.com/watch?v=wO9Y9R5xTaw,2022-07-14T07:20:56Z
Wait Time TLAC 3.0 Technique 33,https://www.youtube.com/watch?v=PvJw9ge8yFQ,2022-07-14T03:22:57Z
Stretch It TLAC 3.0 Technique 17,https://www.youtube.com/watch?v=rdszNzs0N80,2022-07-14T02:37:28Z
Right is Right TLAC 3.0 Technique 16,https://www.youtube.com/watch?v=H07fYE6vLGk,2022-07-13T23:36:49Z
No Opt Out TLAC 3.0 Technique 15,https://www.youtube.com/watch?v=NUL51AmaKfM,2022-07-12T06:18:27Z
Teach Like a Champion (TLAC) 3.0 Overview and Review,https://www.youtube.com/watch?v=5vJoq2fQ-bM,2022-07-12T03:19:50Z
Aleks   Trigonometry   Solving a Basic Trigonometric Equation Involving Sine or Cosine,https://www.youtube.com/watch?v=ex-zNEn3a3U,2022-06-12T08:31:41Z
Aleks   Trigonometry   Proving Trigonometric Identitites Problem Type 1,https://www.youtube.com/watch?v=PZkFYzsJ7TI,2022-06-12T08:28:21Z
Aleks   Trigonometry   Solving trigonometric equations modeling a real world situation,https://www.youtube.com/watch?v=RUWJ9qM-wo0,2022-06-12T08:27:59Z
[Archives 2016] Implementing Blended Learning in KPBS,https://www.youtube.com/watch?v=ZytFnOsn69s,2022-03-26T13:27:54Z
[Archives from 2016] What is Extensive Reading and how does it work?,https://www.youtube.com/watch?v=8ZbbqoO6b8o,2022-03-26T13:26:04Z
Nextcloud AIO -- Beautiful!,https://www.youtube.com/watch?v=AoPStL-BX9U,2021-12-06T12:50:52Z
Math 2   Zero Product Property,https://www.youtube.com/watch?v=4csMf-2ACos,2021-11-22T07:38:54Z
Math 2   Intro to Parabolas   Interpret a quadratic graph,https://www.youtube.com/watch?v=ufeFJy3lb0g,2021-11-15T07:24:37Z
